drivewheel,wheelbase,carlength,carwidth,curbweight,cylindernumber,enginesize,fuelsystem,boreratio,horsepower,highwaympg,price
19.91,88.6,168.8,64.1,2548,4,130,17.75,3.47,111,27,13495
19.91,88.6,168.8,64.1,2548,4,130,17.75,3.47,111,27,16500
19.91,94.5,171.2,65.5,2823,6,152,17.75,2.68,154,26,16500
9.24,99.8,176.6,66.2,2337,4,109,17.75,3.19,102,30,13950
11.09,99.4,176.6,66.4,2824,5,136,17.75,3.19,115,22,17450
9.24,99.8,177.3,66.3,2507,5,136,17.75,3.19,110,25,15250
9.24,105.8,192.7,71.4,2844,5,136,17.75,3.19,110,25,17710
9.24,105.8,192.7,71.4,2954,5,136,17.75,3.19,110,25,18920
9.24,105.8,192.7,71.4,3086,5,131,17.75,3.13,140,20,23875
11.09,99.5,178.2,67.9,3053,5,131,17.75,3.13,160,22,17859.167
19.91,101.2,176.8,64.8,2395,4,108,17.75,3.5,101,29,16430
19.91,101.2,176.8,64.8,2395,4,108,17.75,3.5,101,29,16925
19.91,101.2,176.8,64.8,2710,6,164,17.75,3.31,121,28,20970
19.91,101.2,176.8,64.8,2765,6,164,17.75,3.31,121,28,21105
19.91,103.5,189,66.9,3055,6,164,17.75,3.31,121,25,24565
19.91,103.5,189,66.9,3230,6,209,17.75,3.62,182,22,30760
19.91,103.5,193.8,67.9,3380,6,209,17.75,3.62,182,22,41315
19.91,110,197,70.9,3505,6,209,17.75,3.62,182,20,36880
9.24,88.4,141.1,60.3,1488,3,61,7.48,2.91,48,53,5151
9.24,94.5,155.9,63.6,1874,4,90,7.48,3.03,70,43,6295
9.24,94.5,158.8,63.6,1909,4,90,7.48,3.03,70,43,6575
9.24,93.7,157.3,63.8,1876,4,90,7.48,2.97,68,41,5572
9.24,93.7,157.3,63.8,1876,4,90,7.48,2.97,68,38,6377
9.24,93.7,157.3,63.8,2128,4,98,17.75,3.03,102,30,7957
9.24,93.7,157.3,63.8,1967,4,90,7.48,2.97,68,38,6229
9.24,93.7,157.3,63.8,1989,4,90,7.48,2.97,68,38,6692
9.24,93.7,157.3,63.8,1989,4,90,7.48,2.97,68,38,7609
9.24,93.7,157.3,63.8,2191,4,98,17.75,3.03,102,30,8558
9.24,103.3,174.6,64.6,2535,4,122,7.48,3.34,88,30,8921
9.24,95.9,173.2,66.3,2811,4,156,12.96,3.6,145,24,12964
9.24,86.6,144.6,63.9,1713,4,92,7.56,2.91,58,54,6479
9.24,86.6,144.6,63.9,1819,4,92,7.56,2.91,76,38,6855
9.24,93.7,150,64,1837,4,79,7.56,2.91,60,42,5399
9.24,93.7,150,64,1940,4,92,7.56,2.91,76,34,6529
9.24,93.7,150,64,1956,4,92,7.56,2.91,76,34,7129
9.24,96.5,163.4,64,2010,4,92,7.56,2.91,76,34,7295
9.24,96.5,157.1,63.9,2024,4,92,7.56,2.92,76,34,7295
9.24,96.5,167.5,65.2,2236,4,110,7.56,3.15,86,33,7895
9.24,96.5,167.5,65.2,2289,4,110,7.56,3.15,86,33,9095
9.24,96.5,175.4,65.2,2304,4,110,7.56,3.15,86,33,8845
9.24,96.5,175.4,62.5,2372,4,110,7.56,3.15,86,33,10295
9.24,96.5,175.4,65.2,2465,4,110,17.75,3.15,101,28,12945
9.24,96.5,169.1,66,2293,4,110,7.48,3.15,100,31,10345
19.91,94.3,170.7,61.8,2337,4,111,7.48,3.31,78,29,6785
9.24,94.5,155.9,63.6,1874,4,90,7.48,3.03,70,43,8916.5
9.24,94.5,155.9,63.6,1909,4,90,7.48,3.03,70,43,8916.5
19.91,96,172.6,65.2,2734,4,119,11.05,3.43,90,29,11048
19.91,113,199.6,69.6,4066,6,258,17.75,3.63,176,19,32250
19.91,113,199.6,69.6,4066,6,258,17.75,3.63,176,19,35550
19.91,102,191.7,70.6,3950,12,326,17.75,3.54,262,17,36000
9.24,93.1,159.1,64.2,1890,4,91,7.48,3.03,68,31,5195
9.24,93.1,159.1,64.2,1900,4,91,7.48,3.03,68,38,6095
9.24,93.1,159.1,64.2,1905,4,91,7.48,3.03,68,38,6795
9.24,93.1,166.8,64.2,1945,4,91,7.48,3.03,68,38,6695
9.24,93.1,166.8,64.2,1950,4,91,7.48,3.08,68,38,7395
19.91,95.3,169,65.7,2380,2,70,12.15,3.33,101,23,10945
19.91,95.3,169,65.7,2380,2,70,12.15,3.33,101,23,11845
19.91,95.3,169,65.7,2385,2,70,12.15,3.33,101,23,13645
19.91,95.3,169,65.7,2500,2,80,17.75,3.33,135,23,15645
9.24,98.8,177.8,66.5,2385,4,122,7.48,3.39,84,32,8845
9.24,98.8,177.8,66.5,2410,4,122,7.48,3.39,84,32,8495
9.24,98.8,177.8,66.5,2385,4,122,7.48,3.39,84,32,10595
9.24,98.8,177.8,66.5,2410,4,122,7.48,3.39,84,32,10245
9.24,98.8,177.8,66.5,2443,4,122,15.84,3.39,64,42,10795
9.24,98.8,177.8,66.5,2425,4,122,7.48,3.39,84,32,11245
19.91,104.9,175,66.1,2670,4,140,17.75,3.76,120,27,18280
19.91,104.9,175,66.1,2700,4,134,15.84,3.43,72,39,18344
19.91,110,190.9,70.3,3515,5,183,15.84,3.58,123,25,25552
19.91,110,190.9,70.3,3750,5,183,15.84,3.58,123,25,28248
19.91,106.7,187.5,70.3,3495,5,183,15.84,3.58,123,25,28176
19.91,115.6,202.6,71.7,3770,5,183,15.84,3.58,123,25,31600
19.91,115.6,202.6,71.7,3740,8,234,17.75,3.46,155,18,34184
19.91,96.6,180.3,70.5,3685,8,234,17.75,3.46,155,18,35056
19.91,120.9,208.1,71.7,3900,8,308,17.75,3.8,184,16,40960
19.91,112,199.2,72,3715,8,304,17.75,3.8,184,16,45400
19.91,102.7,178.4,68,2910,4,140,17.75,3.78,175,24,16503
9.24,93.7,157.3,64.4,1918,4,92,7.48,2.97,68,41,5389
9.24,93.7,157.3,64.4,1944,4,92,7.48,2.97,68,38,6189
9.24,93.7,157.3,64.4,2004,4,92,7.48,2.97,68,38,6669
9.24,93,157.3,63.8,2145,4,98,10.99,3.03,102,30,7689
9.24,96.3,173,65.4,2370,4,110,10.99,3.17,116,30,9959
9.24,96.3,173,65.4,2328,4,122,7.48,3.35,88,32,8499
9.24,95.9,173.2,66.3,2833,4,156,10.99,3.58,145,24,12629
9.24,95.9,173.2,66.3,2921,4,156,10.99,3.59,145,24,14869
9.24,95.9,173.2,66.3,2926,4,156,10.99,3.59,145,24,14489
9.24,96.3,172.4,65.4,2365,4,122,7.48,3.35,88,32,6989
9.24,96.3,172.4,65.4,2405,4,122,7.48,3.35,88,32,8189
9.24,96.3,172.4,65.4,2403,4,110,10.99,3.17,116,30,9279
9.24,96.3,172.4,65.4,2403,4,110,10.99,3.17,116,30,9279
9.24,94.5,165.3,63.8,1889,4,97,7.48,3.15,69,37,5499
9.24,94.5,165.3,63.8,2017,4,103,15.84,2.99,55,50,7099
9.24,94.5,165.3,63.8,1918,4,97,7.48,3.15,69,37,6649
9.24,94.5,165.3,63.8,1938,4,97,7.48,3.15,69,37,6849
9.24,94.5,170.2,63.8,2024,4,97,7.48,3.15,69,37,7349
9.24,94.5,165.3,63.8,1951,4,97,7.48,3.15,69,37,7299
9.24,94.5,165.6,63.8,2028,4,97,7.48,3.15,69,37,7799
9.24,94.5,165.3,63.8,1971,4,97,7.48,3.15,69,37,7499
9.24,94.5,170.2,63.8,2037,4,97,7.48,3.15,69,37,7999
9.24,95.1,162.4,63.8,2008,4,97,7.48,3.15,69,37,8249
9.24,97.2,173.4,65.2,2324,4,120,7.48,3.33,97,34,8949
9.24,97.2,173.4,65.2,2302,4,120,7.48,3.33,97,34,9549
9.24,100.4,181.7,66.5,3095,6,181,17.75,3.43,152,22,13499
9.24,100.4,184.6,66.5,3296,6,181,17.75,3.43,152,22,14399
9.24,100.4,184.6,66.5,3060,6,181,17.75,3.43,152,25,13499
19.91,91.3,170.7,67.9,3071,6,181,17.75,3.43,160,25,17199
19.91,91.3,170.7,67.9,3139,6,181,17.75,3.43,200,23,19699
19.91,99.2,178.5,67.9,3139,6,181,17.75,3.43,160,25,18399
19.91,107.9,186.7,68.4,3020,4,120,17.75,3.46,97,24,11900
19.91,107.9,186.7,68.4,3197,4,152,15.84,3.7,95,33,13200
19.91,114.2,198.9,68.4,3230,4,120,17.75,3.46,97,24,12440
19.91,114.2,198.9,68.4,3430,4,152,15.84,3.7,95,25,13860
19.91,107.9,186.7,68.4,3075,4,120,17.75,3.46,95,24,15580
19.91,107.9,186.7,68.4,3252,4,152,15.84,3.7,95,33,16900
19.91,114.2,198.9,68.4,3285,4,120,17.75,3.46,95,24,16695
19.91,114.2,198.9,68.4,3485,4,152,15.84,3.7,95,25,17075
19.91,107.9,186.7,68.4,3075,4,120,17.75,3.46,97,24,16630
19.91,107.9,186.7,68.4,3252,4,152,15.84,3.7,95,33,17950
19.91,108,186.7,68.3,3130,4,134,17.75,3.61,142,24,18150
9.24,93.7,157.3,63.8,1918,4,90,7.48,2.97,68,41,5572
9.24,93.7,157.3,63.8,2128,4,98,10.99,3.03,102,30,7957
9.24,93.7,157.3,63.8,1967,4,90,7.48,2.97,68,38,6229
9.24,93.7,167.3,63.8,1989,4,90,7.48,2.97,68,38,6692
9.24,93.7,167.3,63.8,2191,4,98,7.48,2.97,68,38,7609
9.24,103.3,174.6,64.6,2535,4,122,7.48,3.35,88,30,8921
19.91,95.9,173.2,66.3,2818,4,156,10.99,3.59,145,24,12764
19.91,94.5,168.9,68.3,2778,4,151,17.75,3.94,143,27,22018
19.91,89.5,168.9,65,2756,6,194,17.75,3.74,207,25,32528
19.91,89.5,168.9,65,2756,6,194,17.75,3.74,207,25,34028
19.91,89.5,168.9,65,2800,6,194,17.75,3.74,207,25,37028
19.91,98.4,175.7,72.3,3366,8,203,17.75,3.94,288,28,31400.5
9.24,96.1,181.5,66.5,2579,4,132,17.75,3.46,90,31,9295
9.24,96.1,176.8,66.6,2460,4,132,17.75,3.46,90,31,9895
9.24,99.1,186.6,66.5,2658,4,121,17.75,3.54,110,28,11850
9.24,99.1,186.6,66.5,2695,4,121,17.75,3.54,110,28,12170
9.24,99.1,186.6,66.5,2707,4,121,17.75,2.54,110,28,15040
9.24,99.1,186.6,66.5,2758,4,121,17.75,3.54,110,28,15510
9.24,99.1,186.6,66.5,2808,4,121,17.75,3.54,160,26,18150
9.24,99.1,186.6,66.5,2847,4,121,17.75,3.54,160,26,18620
9.24,93.7,156.9,63.4,2050,4,97,7.48,3.62,69,36,5118
9.24,93.7,157.9,63.6,2120,4,108,7.48,3.62,73,31,7053
11.09,93.3,157.3,63.8,2240,4,108,7.48,3.62,73,31,7603
9.24,97.2,172,65.4,2145,4,108,7.48,3.62,82,37,7126
9.24,97.2,172,65.4,2190,4,108,7.48,3.62,82,33,7775
9.24,97.2,172,65.4,2340,4,108,17.75,3.62,94,32,9960
11.09,97,172,65.4,2385,4,108,7.48,3.62,82,25,9233
11.09,97,172,65.4,2510,4,108,17.75,3.62,111,29,11259
9.24,97,173.5,65.4,2290,4,108,7.48,3.62,82,32,7463
9.24,97,173.5,65.4,2455,4,108,17.75,3.62,94,31,10198
11.09,96.9,173.6,65.4,2420,4,108,7.48,3.62,82,29,8013
11.09,96.9,173.6,65.4,2650,4,108,17.75,3.62,111,23,11694
9.24,95.7,158.7,63.6,1985,4,92,7.48,3.05,62,39,5348
9.24,95.7,158.7,63.6,2040,4,92,7.48,3.05,62,38,6338
9.24,95.7,158.7,63.6,2015,4,92,7.48,3.05,62,38,6488
9.24,95.7,169.7,63.6,2280,4,92,7.48,3.05,62,37,6918
11.09,95.7,169.7,63.6,2290,4,92,7.48,3.05,62,32,7898
11.09,95.7,169.7,63.6,3110,4,92,7.48,3.05,62,32,8778
9.24,95.7,166.3,64.4,2081,4,98,7.48,3.19,70,37,6938
9.24,95.7,166.3,64.4,2109,4,98,7.48,3.19,70,37,7198
9.24,95.7,166.3,64.4,2275,4,110,15.84,3.27,56,36,7898
9.24,95.7,166.3,64.4,2275,4,110,15.84,3.27,56,47,7788
9.24,95.7,166.3,64.4,2094,4,98,7.48,3.19,70,47,7738
9.24,95.7,166.3,64.4,2122,4,98,7.48,3.19,70,34,8358
9.24,95.7,166.3,64.4,2140,4,98,7.48,3.19,70,34,9258
19.91,94.5,168.7,64,2169,4,98,7.48,3.19,70,34,8058
19.91,94.5,168.7,64,2204,4,98,7.48,3.19,70,34,8238
19.91,94.5,168.7,64,2265,4,98,17.75,3.24,112,29,9298
19.91,94.5,168.7,64,2300,4,98,17.75,3.24,112,29,9538
19.91,98.4,176.2,65.6,2540,4,146,17.75,3.62,116,30,8449
19.91,98.4,176.2,65.6,2536,4,146,17.75,3.62,116,30,9639
19.91,98.4,176.2,65.6,2551,4,146,17.75,3.62,116,30,9989
19.91,98.4,176.2,65.6,2679,4,146,17.75,3.62,116,30,11199
19.91,98.4,176.2,65.6,2714,4,146,17.75,3.62,116,30,11549
19.91,98.4,176.2,65.6,2975,4,146,17.75,3.62,116,30,17669
9.24,102.4,175.6,66.5,2326,4,122,17.75,3.31,92,34,8948
9.24,102.4,175.6,66.5,2480,4,110,15.84,3.27,73,33,10698
9.24,102.4,175.6,66.5,2414,4,122,17.75,3.31,92,32,9988
9.24,102.4,175.6,66.5,2414,4,122,17.75,3.31,92,32,10898
9.24,102.4,175.6,66.5,2458,4,122,17.75,3.31,92,32,11248
19.91,102.9,183.5,67.7,2976,6,171,17.75,3.27,161,24,16558
19.91,102.9,183.5,67.7,3016,6,171,17.75,3.27,161,24,15998
19.91,104.5,187.8,66.5,3131,6,171,17.75,3.27,156,24,15690
19.91,104.5,187.8,66.5,3151,6,161,17.75,3.27,156,24,15750
9.24,97.3,171.7,65.5,2261,4,97,15.84,3.01,52,46,7775
9.24,97.3,171.7,65.5,2209,4,109,17.75,3.19,85,34,7975
9.24,97.3,171.7,65.5,2264,4,97,15.84,3.01,52,46,7995
